id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
43750,BE-0001,closed,Froidchapelle Glider Field,50.176388,4.352222,902.0,EU,BE,BE-WHT,Froidchapelle,no,,,,,,
43753,BE-0002,closed,Chimay-Virelles Ulmodrome,50.117778778,4.33055591583,919.0,EU,BE,BE-WHT,Chimay,no,,,,,,
43762,BE-0003,closed,Sovet Airfield,50.286944,5.038462,919.0,EU,BE,BE-WNA,Ciney,no,,,,,,
301715,BE-0004,heliport,Zomergem Heliport,51.131424,3.522277,66.0,EU,BE,BE-VOV,Zomergem,no,EBZM,,,,,
336984,BE-0006,heliport,Aalst Heliport,50.931377,4.087209,60.0,EU,BE,BE-VOV,Aalst,no,,,,,,"EBAL, EBLY"
312154,BE-0007,closed,Imelda Hospital Helipad,51.01767,4.55819,30.0,EU,BE,BE-VAN,Bonheiden,no,,,,,,
323796,BE-0008,heliport,Brecht/Vochten Heliport,51.332,4.62466,87.0,EU,BE,BE-VAN,Brecht,no,EBBV,,,,,
323798,BE-0009,closed,Jan Palfijn Hospital Heliport,51.048358,3.700268,,EU,BE,BE-VOV,Gent,no,,,,,,
323969,BE-0010,heliport,Lint Heliport,51.136231,4.478994,36.0,EU,BE,BE-VAN,Lint,no,EBLT,,,,,
323973,BE-0011,heliport,Neerpelt/Tilburgs Heliport,51.240015,5.417956,,EU,BE,BE-VLI,Neerpelt,no,EBNP,,,,,
324445,BE-0012,balloonport,Céroux-Mousty Balloon Field,50.660241,4.513276,,EU,BE,BE-WBR,Céroux-Mousty,no,,,,http://www.europeanballoon.be/fr/site-decollage-place-ceroux-mousty.html,,
30977,BE-0013,closed,Orchimont Ultralight Airfield,49.90643,4.93413,1312.0,EU,BE,BE-WNA,Vresse-sur-Semois,no,,,,,,EBOR
337610,BE-0014,heliport,Ichtegem Heliport,51.062009,3.030462,66.0,EU,BE,BE-VWV,Ichtegem,no,EBWV,,,,,
337615,BE-0015,heliport,Lochristi Heliport,51.084131,3.838701,20.0,EU,BE,BE-VOV,Lochristi,no,EBLO,,,,,
514093,BE-0016,closed,Walem Heliport,51.0703,4.44653,10.0,EU,BE,BE-VAN,Mechelen,no,,,,,,EBMW
342113,BE-0017,heliport,Montegnee / CHC Heliport,50.640702,5.533148,571.0,EU,BE,BE-WLG,,no,EBCH,,,,,
514315,BE-0018,heliport,Mont-Godinne University Hospital Heliport,50.35869,4.884487,551.0,EU,BE,BE-WNA,Yvoir,no,,,,,,
429993,BE-0019,heliport,Queen Astrid Military Hospital Heliport,50.90527,4.38936,209.0,EU,BE,BE-BRU,Brussels,no,,,,,,
514316,BE-0020,heliport,Delta General Hospital Rumbeke Campus Heliport,50.91723,3.16542,59.0,EU,BE,BE-VWV,Roeselare,no,,,,,,AZ Delta
514419,BE-0021,heliport,Camp King Albert Heliport,50.240628,5.366017,727.0,EU,BE,BE-WLX,Marche-en-Famenne,no,,,,,,
514827,BE-0022,heliport,Sankt Nikolaus Hospital Heliport,50.62952,6.02817,902.0,EU,BE,BE-WLG,Eupen,no,,,,,,
515404,BE-0023,heliport,Queen Astrid Malmedy Hospital Heliport,50.42694,6.02379,1086.0,EU,BE,BE-WLG,Malmedy,no,,,,,,
515475,BE-0024,heliport,Duffel Fire Station Heliport,51.10271,4.49139,30.0,EU,BE,BE-VAN,Duffel,no,,,,,,
515476,BE-0025,heliport,Arlon Hospital Heliport,49.67729,5.81996,1301.0,EU,BE,BE-WLX,Arlon,no,,,,,,
515477,BE-0026,heliport,Federal Road Police Brecht Heliport,51.35213,4.63124,72.0,EU,BE,BE-VAN,Brecht,no,,,,,,
515478,BE-0027,heliport,Federal Road Police West Flanders Jabbeke Heliport,51.19372,3.06436,3.0,EU,BE,BE-VWV,Jabbeke,no,,,,,,
515479,BE-0028,heliport,Federal Road Police East Flanders Wetteren Heliport,50.973,3.84096,92.0,EU,BE,BE-VOV,Wetteren,no,,,,,,
515515,BE-0029,closed,Ardenne Hospital Heliport,49.92489,5.37936,1647.0,EU,BE,BE-WLX,Libramont-Chevigny,no,,,,,,
515516,BE-0030,heliport,Camp Général Bastin Heliport,49.6814,5.77854,1270.0,EU,BE,BE-WLX,Arlon,no,,,,,,
515522,BE-0031,closed,Delta General Hospital Torhout Heliport,51.07013,3.09414,69.0,EU,BE,BE-VWV,Torhout,no,,,,,,
515523,BE-0032,heliport,Pont d'Oye Heliport,49.73447,5.672,1262.0,EU,BE,BE-WLX,Habay,no,,,,,,
515525,BE-0033,heliport,Federal Road Police Antwerp Heliport,51.20284,4.37927,25.0,EU,BE,BE-VAN,Antwerp,no,,,,,,
515526,BE-0034,heliport,Federal Police Ghent Heliport,51.06756,3.6941,26.0,EU,BE,BE-VOV,Ghent,no,,,,,,
515529,BE-0035,heliport,Sint-Elisabeth General Hospital Zottegem Heliport,50.8629,3.81877,246.0,EU,BE,BE-VOV,Zottegem,no,,,,,,
515531,BE-0036,heliport,Federal Road Police Antwerp Turnhout Heliport,51.29609,4.91018,62.0,EU,BE,BE-VAN,Turnhout,no,,,,,,
515532,BE-0037,small_airport,Federal Road Police Hainaut Péruwelz Heliport,50.53108,3.60476,151.0,EU,BE,BE-WHT,Péruwelz,no,,,,,,
515533,BE-0038,heliport,Federal Road Police Antwerp Grobbendonk Heliport,51.17411,4.75769,33.0,EU,BE,BE-VAN,Grobbendonk,no,,,,,,
515905,BE-0039,heliport,Jessa Hospital Salvator Campus Heliport,50.90931,5.34324,175.0,EU,BE,BE-VLI,Hasselt,no,,,,,,
517154,BE-0040,heliport,Dynali Factory Heliport,50.575412,4.358062,518.0,EU,BE,BE-WBR,Nivelles,no,,,,https:/https://www.dynali.com//www.dynali.com/,https://en.wikipedia.org/wiki/Dynali,
337381,EBAG,heliport,Grâce-Hollogne Agusta Heliport,50.640081,5.457585,590.0,EU,BE,BE-WLG,Grâce-Hollogne,no,EBAG,,,,,
43724,EBAK,closed,Kiel Heliport,51.20007,4.358938,10.0,EU,BE,BE-VAN,Antwerpen,no,,,,,,EBAK
298604,EBAL,heliport,Aalst Hospital Helistrip,50.943087,4.055763,141.0,EU,BE,BE-VOV,Aalst,no,,,,,,OLV-Ziekenhuis
